OrderID,OrderDate,ProductID,CustomerID,RegionID,Quantity,DiscountPct,SalesAmount,CostAmount
O000001,2023-12-15,P0076,C0780,R18,4,0.0977,6301.76,4928.69
O000002,2025-11-20,P0139,C1058,R16,9,0.0924,8707.71,7814.2
O000003,2025-03-22,P0207,C1075,R10,1,0.1717,87.62,62.61
O000004,2025-12-05,P0134,C0666,R14,1,0.1785,132.06,122.23
O000005,2024-10-17,P0051,C0155,R09,8,0.1451,2561.4,2157.4
O000006,2024-11-18,P0063,C0676,R15,1,0.0129,287.93,233.88
O000007,2025-07-16,P0113,C0739,R15,1,0.117,189.74,150.35
O000008,2024-04-22,P0017,C0894,R20,1,0.1194,37.59,27.67
O000009,2023-11-11,P0049,C0834,R03,3,0.0111,892.66,718.55
O000010,2023-07-09,P0029,C0422,R14,6,0.1746,1728.7,1659.38
O000011,2023-12-09,P0220,C0994,R09,4,0.0753,2675.61,1569.28
O000012,2024-03-03,P0049,C0794,R17,1,0.0976,273.5,243.47
O000013,2023-06-02,P0110,C0900,R13,3,0.1634,3701.34,2719.97
O000014,2023-10-17,P0088,C0508,R05,5,0.0014,1924.35,1245.92
O000015,2023-08-28,P0160,C0404,R20,1,0.024,956.44,750.83
O000016,2025-06-04,P0124,C1107,R05,1,0.0021,123.41,74.25
O000017,2023-10-08,P0060,C0812,R18,2,0.0695,2651.56,2065.2
O000018,2023-10-01,P0137,C0427,R18,3,0.0395,1796.78,1040.21
O000019,2024-08-07,P0182,C0450,R06,9,0.0071,3405.57,2513.06
O000020,2023-05-04,P0154,C0764,R19,9,0.0655,489.6,318.86
O000021,2025-09-28,P0056,C0558,R18,5,0.0691,2267.48,1557.87
O000022,2025-08-08,P0011,C0024,R19,1,0.0087,103.38,83.25
O000023,2024-11-27,P0157,C0107,R16,10,0.0985,12189.12,8813.14
O000024,2024-09-19,P0121,C0699,R02,4,0.0538,1340.78,1128.59
O000025,2024-07-09,P0016,C0208,R20,10,0.0027,2690.13,1640.24
O000026,2023-01-10,P0010,C0931,R11,9,0.0766,428.33,366.46
O000027,2023-03-03,P0031,C0416,R14,2,0.0477,1636.24,1225.75
O000028,2023-05-26,P0144,C1000,R11,1,0.0229,353.72,264.0
O000029,2023-09-23,P0056,C0935,R09,3,0.0091,1488.23,907.61
O000030,2024-11-21,P0071,C1053,R11,8,0.0468,519.84,447.8
O000031,2023-12-01,P0220,C0749,R07,1,0.0794,666.64,382.78
O000032,2023-09-28,P0134,C0607,R07,3,0.0696,456.96,360.98
O000033,2024-10-07,P0018,C0815,R16,1,0.0991,21.41,15.08
O000034,2024-09-19,P0105,C0704,R04,2,0.0191,984.57,749.56
O000035,2023-06-17,P0075,C1098,R16,4,0.1025,1064.12,790.63
O000036,2023-09-01,P0180,C0382,R19,1,0.1004,30.54,27.5
O000037,2023-06-12,P0124,C0125,R18,8,0.0471,942.13,607.03
O000038,2023-07-05,P0022,C1145,R07,1,0.0762,458.27,384.52
O000039,2025-12-05,P0070,C0993,R04,2,0.0258,1205.77,951.11
O000040,2025-08-08,P0118,C0759,R03,2,0.0651,3029.19,2102.95
O000041,2024-02-01,P0071,C0181,R19,1,0.0567,63.23,56.78
O000042,2024-08-20,P0069,C0308,R12,1,0.0993,108.94,82.21
O000043,2025-12-21,P0218,C0384,R05,1,0.0348,242.69,159.35
O000044,2024-02-19,P0003,C1071,R14,4,0.0294,1389.16,1041.98
O000045,2023-12-13,P0070,C0434,R03,1,0.0275,593.74,491.1
O000046,2023-12-06,P0119,C0765,R08,4,0.0075,2390.19,1404.4
O000047,2024-08-18,P0170,C1125,R17,2,0.0981,1129.91,875.51
O000048,2024-05-20,P0173,C0822,R14,8,0.0454,2719.69,1712.98
O000049,2023-01-06,P0050,C0674,R02,4,0.1138,1186.29,844.59
O000050,2023-01-08,P0136,C0152,R06,2,0.042,192.08,144.68
O000051,2023-06-25,P0155,C0320,R16,3,0.0747,2780.28,2275.98
O000052,2023-11-19,P0011,C0026,R13,1,0.047,106.2,83.17
O000053,2024-12-14,P0124,C0196,R02,1,0.0995,109.92,75.35
O000054,2024-03-09,P0143,C0705,R03,1,0.1768,1524.67,1065.91
O000055,2024-07-07,P0038,C0809,R08,3,0.0423,3711.3,3088.7
O000056,2023-07-06,P0158,C0202,R19,1,0.0882,678.87,416.06
O000057,2023-06-25,P0090,C0397,R01,3,0.1365,966.66,771.64
O000058,2025-08-14,P0016,C0827,R14,3,0.0423,741.32,484.86
O000059,2024-12-16,P0097,C0082,R09,5,0.0443,485.77,392.12
O000060,2023-07-28,P0085,C0725,R16,1,0.0322,176.22,123.25
O000061,2023-03-20,P0163,C0562,R01,8,0.1729,6127.39,5431.71
O000062,2025-09-19,P0066,C0392,R04,3,0.064,1551.75,983.02
O000063,2025-01-07,P0168,C0560,R18,1,0.0489,485.29,399.64
O000064,2025-12-10,P0165,C0524,R17,1,0.0851,59.93,46.17
O000065,2024-12-02,P0138,C1052,R08,3,0.0577,2715.19,2088.54
O000066,2024-02-15,P0082,C0996,R13,3,0.1032,967.76,685.58
O000067,2024-08-08,P0026,C1126,R17,1,0.0865,17.64,12.94
O000068,2023-11-13,P0046,C0816,R17,2,0.0451,145.66,110.79
O000069,2024-07-12,P0067,C0576,R08,1,0.1047,661.12,454.72
O000070,2024-07-01,P0117,C0373,R09,6,0.0676,2341.16,1513.04
O000071,2023-12-15,P0206,C0704,R04,1,0.0034,85.8,55.7
O000072,2025-04-19,P0168,C0602,R16,2,0.1252,906.53,798.24
O000073,2024-08-23,P0194,C1029,R12,3,0.005,1019.19,632.13
O000074,2023-02-06,P0087,C0546,R02,1,0.0287,111.26,84.63
O000075,2024-05-12,P0013,C0829,R18,4,0.1225,1734.91,1407.26
O000076,2025-11-15,P0198,C0058,R04,3,0.0042,2476.31,1687.57
O000077,2025-10-24,P0207,C0524,R17,4,0.0949,378.99,250.07
O000078,2024-09-02,P0144,C0431,R02,4,0.0846,1298.9,1046.18
O000079,2025-02-14,P0107,C0771,R14,1,0.0468,203.93,131.99
O000080,2025-11-23,P0026,C0147,R01,1,0.0138,20.13,13.31
O000081,2025-05-02,P0172,C0167,R07,1,0.0562,535.52,343.93
O000082,2025-08-01,P0215,C0205,R10,3,0.0183,826.79,553.17
